Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of April  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Const. of Day Care Center @ Brgy. Magsaysay,Polomolok,CY 2017 20% LDF,100.00%,100.00%,," 1,192,955.89 ",60,11/1/17,1/19/18,3/31/18,E SOLATORIO,JAMI CONST. & SUPPLY,Completed
2,"Const. of 2-Storey Barangay Hall, Brgy. Upper Klinan",Polomolok,CY 2017 20% LDF,100.00%,100.00%,," 2,988,998.84 ",105,11/14/17,3/28/18,3/28/18,E SOLATORIO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",Completed
3,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP. ,79.91%,31.47%,48.44%," 4,434,321.22 ",195,1/23/18,8/5/18,,CJ HICBAN,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
4,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,,17.58%,32.12%,-14.54%," 1,192,955.89 ",60,3/27/18,5/26/18,,A. DEMETILLO,JAMI CONST. & SUPPLY,On-going
5,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,77.87%,100.00%,-22.13%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
6,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,"Project suspended waiting for the approved revised plan and variation order prepared by the Planning, Programming & Designing Div. for implementation"
7,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,82.26%,88.61%,-6.35%," 2,980,507.19 ",105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
8,"Const. of Facilites in Evacuation Centers (Const. of Comfort Room & Kitchen), Lunen ES",Tupi,CY 2017 CONT. APPROP.-CAL #34 ,100.00%,100.00%,0.00%," 1,545,000.00 ",75,1/18/18,4/2/18,4/2/18,A DEMETILLO,FREDEN CONSTRUCTION,On-going
9,Const. of Stage @ Brgy. Tubeng,Tupi,CY 2017 20% LDF,100.00%,100.00%,0.00%," 915,350.06 ",90,1/11/18,4/10/18,4/10/18,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,Completed
