Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of August 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,2018 CONT. APPRO. GF#259,78.10%,100.00%,-21.90%," 1,192,955.89 ",75,3/27/18,6/10/18,,A. DEMETILLO,JAMI CONST. & SUPPLY,On-going
2,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,89.67%,100.00%,-10.33%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
3,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,"Project suspended waiting for the approved revised plan and variation order prepared by the Planning, Programming & Designing Div. for implementation"
4,"Construction of Water System @ prk. 3 Sultan Village & Cartil, Brgy. Palian",Tupi,2018 CONT. APPRO GF #271,28.21%,32.70%,-4.49%," 1,488,617.60 ",100,7/4/18,10/11/18,,J JANUTO,JANMARIE CONST. SERVICE & SUPPLY,On-going
5,Upgrading of Acmonan Road,Tupi,CY 2018 20% LDF 4.2.12,9.60%,5.44%,4.16%," 9,968,842.72 ",135,7/23/18,12/4/18,,J JANUTO,PASE CONSTRUCTION,On-going
6,Renovation of Brgy. Hall @ Brgy. Linan,Tupi,2018 CONT. APPRO GF #256,33.83%,89.08%,-55.25%," 988,822.23 ",60,6/28/18,8/26/18,,J JANUTO,JJHAK CONSTRUCTION,On-going
7,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,99.23%,100.00%,-0.77%," 5,919,451.68 ",75,11/28/17,4/16/18,,S RENTOZA,BETTER WORK CONSTRUCTION,"On-going; project expired last April 16, 2018"
8,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,72.33%,100.00%,-27.67%," 2,989,399.99 ",90,3/27/18,8/3/18,,S RENTOZA,MARBEL DYNAMIC BUILDERS,"On-going; project expired last August 18,2018"
9,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,96.01%,92.02%,3.99%," 1,041,997.26 ",90,11/22/16,3/15/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Ongoing; Resumed August 17, 2018"
10,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,80.65%,93.86%,-13.21%," 15,950,503.14 ",320,12/5/16,9/4/18,,E SOLATORIO,REYDAN BUILDERS,On-going; time extension is on process
11,Const. of Perimeter Fence-Firewall @ OPAG,Koronadal City,CY 2017 20% LDF,100.00%,100.00%,0.00%," 792,000.00 ",60,1/10/18,8/20/18,8/20/18,E SOLATORIO,FREDEN CONSTRUCTION,Completed
12,"Const. of 1 Unit Box Culvert Connecting Prk. Pag-asa & Prk. Blaan, Brgy. Magsaysay",Koronadal City,2017 PDRRMF-IP TF 2.4,22.75%,59.68%,-36.93%," 1,263,126.92 ",50,4/16/18,6/4/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
13,Completion of PDRR Operations Center & Warehouse @ PEO Compound,Koronadal City,999.4-SB#2-CPDRROCW,54.10%,100.00%,-45.90%," 1,488,317.54 ",70,4/8/18,6/16/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of June 14, 2018 due to the new policy of SOCOTECO 1 in banking of 100kVA transformer"
14,Purchase & Installation of Elevator (Includes Architectural Design and Elevator Shaft),Koronadal City,2018 CONT. APPROP. GF #133,71.27%,83.63%,-12.36%," 9,326,531.86 ",130,5/21/18,9/30/18,,E SOLATORIO,ROYAL SUMMIT INFINITY DEV'T. CORP.,On-going
15,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,90.67%,100.00%,-9.33%," 9,769,932.04 ",180,7/26/16,5/21/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going; no activities due to weather condition
16,"Const. of Day Care Center, Sitio El Ulit, Brgy. Bukay Pait",Tantangan,CY 2017 20% LDF,70.93%,72.08%,-1.15%," 1,185,000.00 ",60,6/13/18,8/11/18,,E SOLATORIO,FREDEN CONSTRUCTION,On-going
