Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of December 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started,,,,,
1,"Construction of Sports Learning center, Brgy. Glamang",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,0.07%,0.07%,," 3,174,945.71 ",130,12/20/18,4/28/19,,J JANUTO,MFN BUILDERS,On-going
2,"Completion of Sports Learning center, Brgy. Sumbakil E/S",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,1.08%,1.44%,-0.36%," 994,602.93 ",90,12/16/18,3/15/19,,J JANUTO,ROCKSTONE CONSTRUCTION SERVICES & SUPPLY,On-going
3,"Completion of Sports Learning center @ Kalyong E/S, Brgy. Landan",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,1.76%,3.75%,-1.99%," 996,872.98 ",90,12/12/18,3/11/19,,J JANUTO,THREE G BUILDERS,On-going
4,"Construction of Gabion/Dike, Brgy. Klinan 6",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,0.09%,2.60%,-2.51%," 5,353,075.72 ",72,12/16/18,2/25/19,,J JANUTO,ROCKSTONE CONSTRUCTION SERVICES & SUPPLY,On-going
5,"Construction of Sports Learning center, Brgy. Polonoling NHS",Tupi,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,0.14%,1.08%,-0.94%," 3,190,253.56 ",130,12/11/18,4/19/19,,J JANUTO,CRISNARD CONST. & SUPPLY,On-going
6,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,49.88%,52.42%,-2.54%," 1,935,054.16 ",90,11/5/17,1/14/19,,J JANUTO,KING BUILDERS CONST. & SUPPLY,On-going; time extension is on process
7,Upgrading of Acmonan Road,Tupi,CY 2018 20% LDF 4.2.12,93.86%,96.66%,-2.80%," 9,968,842.72 ",135,7/23/18,1/3/19,,J JANUTO,PASE CONSTRUCTION,On-going
8,Const. of 2CL School Bldg. w/ Two Seater Attached Toilet @ Ricardo D. Avila Elementary School,Tupi,2018 CONT. APPRO GF #41,7.11%,23.18%,-16.07%," 1,979,900.18 ",120,10/2/18,1/29/19,,J JANUTO,ILON MULTIBUILDERS CO.,On-going; Major Issue: lack of materials and skilled laborers
9,"Construciton of One (1) Unit Coffee trading Center, Brgy. Poblacion",Tupi,PRDP,17.62%,20.10%,-2.48%," 2,395,072.06 ",90,11/3/18,1/31/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
