Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of february  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Const. of Day Care Center @ Brgy. Magsaysay,Polomolok,CY 2017 20% LDF,94.42%,100.00%,-5.58%," 1,192,955.89 ",60,11/1/17,1/19/18,,E SOLATORIO,JAMI CONST. & SUPPLY,On-going
2,"Const. of 2-Storey Barangay Hall, Brgy. Upper Klinan",Polomolok,CY 2017 20% LDF,73.10%,73.87%,-0.77%," 2,988,998.84 ",105,11/14/17,2/26/18,,E SOLATORIO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going; Time extension is on process.
3,Conc. of Jct. Nhwy. Crossing Palkan-Palkan Road,Polomolok,CY 2017 20% LDF,96.54%,100.00%,-3.46%," 9,965,162.92 ",130,9/24/17,1/31/18,,A. DEMETILLO,DUMALAG SURVEYING & ENG'G. SERVICES,On-going
4,"Spring Development & inst. Of Level III Water System through Hydraulic Rampump, Prk. 4 Amguo",Polomolok,CY 2017 20% LDF,100.00%,100.00%,0.00%," 2,826,890.48 ",120,9/25/17,2/21/18,2/21/18,A. DEMETILLO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed
5,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP. ,17.77%,2.19%,15.58%," 4,434,321.22 ",195,1/23/18,8/5/18,,CJ HICBAN,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
6,"Completion of Barangay Hall, Brgy. Crossing Palkan",Polomolok,"1011-STAFF-999.26 BRGY. FACILITIES, CONST & IMPRV'T. PROG.",91.71%,92.32%,-0.61%," 591,165.69 ",50,1/11/18,3/1/18,,A. DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
7,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,77.25%,100.00%,-22.75%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
8,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,Project suspended due to the on-going evaluation & assessment of the proposed plan to the actual site condition by the Planning & Prog'g. Div.
9,Inst. Of Lined Canal along Jct. Nhwy.-Kablon Road,Tupi,CY 2017 20% LDF,66.55%,66.36%,0.19%," 1,272,371.40 ",90,12/19/17,3/18/18,,A DEMETILLO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
10,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,16.88%,12.54%,4.34%," 2,980,507.19 ",105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
11,"Const. of Facilites in Evacuation Centers (Const. of Comfort Room & Kitchen), Lunen ES",Tupi,CY 2017 CONT. APPROP.-CAL #34 ,52.25%,38.66%,13.59%," 1,545,000.00 ",75,1/18/18,4/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
12,Const. of Stage @ Brgy. Tubeng,Tupi,CY 2017 20% LDF,42.80%,40.25%,2.55%," 915,350.06 ",90,1/11/18,4/10/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
13,Inst. Of Lined Canal along Jct. Nhwy.-Cebuano Prov'l. Rd.,Tupi,9999-Non-Office 5% CF,56.19%,31.93%,24.26%," 1,487,915.68 ",70,1/18/18,3/28/18,,A DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going
14,"Const. of Day Care Center, Tupi Relocation, Brgy. Pob.",Tupi,CY 2017 20% LDF,0.00%,,," 1,192,742.58 ",60,1/4/18,3/4/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,"Request for suspension is on process, reasonfor suspension  due to delay in verification of project site."
15,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,58.21%,78.66%,-20.45%," 9,769,932.04 ",180,7/26/16,6/27/17,,CJ HICBAN,KING BUILDERS CONST. & SUPPLY,Suspended as of June 16 due to unpassable road condition before the beginning of project
16,Repair of SCPH Medical Records Office (Phase 1),Koronadal City,CY 2017 20% LDF,0.00%,,," 296,989.59 ",60,12/12/17,2/9/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"PROJECT SUSPENDED DUE TO THE DELAYED TRANSFERRING OF THE MEDICAL RECORDS AND VACATE THE PROJECT SITE COMPLETELY,EFFECTIVE DECEMBER 12, 2017 UNTIL SUCH TIME THAT THE SITE ARE CLEAR"
17,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,58.24%,51.99%,6.25%," 1,041,997.26 ",90,11/22/16,2/19/17,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"February 22, 2018, suspension is on process due to the request for revision of the approved plan by the recipient."
18,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,31.93%,34.18%,-2.25%," 15,950,503.14 ",320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Suspended as of September 13, 2017 due to new waterway (under negotiation)"
19,Const. of Box Culvert @ Brgy. Saravia,Koronadal City,9999-Non-Office 5% CF,68.98%,67.52%,1.46%," 2,939,820.87 ",125,11/30/17,4/3/18,,E SOLATORIO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
20,Const. of Water System @ PEO Compound,Koronadal City,PEO 8751-SB#1,52.78%,65.08%,-12.30%," 1,916,254.64 ",100,11/5/17,2/11/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; 
21,Replacement of SCGCC Roofing @ South Cotabato Gymnasium @ Cultural Center,Koronadal City,1011-SCGCC-SB#1,33.68%,58.28%,-24.60%," 5,974,714.75 ",90,11/8/17,2/5/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; 
22,"Furniture & Fixtures Fabrication of Deck-Type Beds for Female Inmates, South Cotabato Detention & Rehab. Center",Koronadal City,1012-SCRDC-1-07-07-010-SB#1,90.08%,84.73%,5.35%," 993,495.69 ",45,1/10/18,2/23/18,,E SOLATORIO,PASE CONSTRUCTION,On-going
23,Labor for the Repair & Repainting of Provincial Accounting Office (PACCO),Koronadal City,1061-5-02-13-040,100.00%,100.00%,0.00%," 95,000.00 ",45,1/4/18,2/17/18,2/17/18,E SOLATORIO,RHANEL PABILONA,Completed
24,Fabrication & Inst. Of Rice Steamer,Koronadal City,1012-SCRDC-1-07-04-990,90.10%,69.21%,20.89%," 886,672.15 ",60,1/11/18,3/11/18,,E SOLATORIO,FH GOPITEO CONST. & SUPPLY,On-going
25,Improvement of Electrical Facilities & Provision of power House @ Finance Bldg.,Koronadal City,1011-STAFF-999.32-IMPROV'T. OF BLDG. & ELECTRICAL FACILITIES,7.33%,14.65%,-7.32%," 5,429,158.31 ",90,1/22/18,4/21/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
