Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of January 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Installation of Lined Canal along Upper Klinan-Cannery,Polomolok,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,398,492.18 ",110,9/12/17,12/30/17,12/30/17,E SOLATORIO,DUMALAG SURVEYING & ENG'G. SERVICES,Completed
2,Const. of Day Care Center @ Brgy. Magsaysay,Polomolok,CY 2017 20% LDF,92.47%,100.00%,-7.53%," 1,192,955.89 ",60,11/1/17,1/19/18,,E SOLATORIO,JAMI CONST. & SUPPLY,On-going
3,"Const. of Basketball Court & Inst. Of Fiber Glass, Basketball Stand & Ring @ Sitio Honeyville",Polomolok,CY 2017 20% LDF,100.00%,100.00%,0.00%," 508,345.53 ",40,11/5/17,1/13/18,1/13/18,E SOLATORIO,JAMI CONST. & SUPPLY,Completed
4,"Const. of 2-Storey Barangay Hall, Brgy. Upper Klinan",Polomolok,CY 2017 20% LDF,47.76%,43.81%,3.95%," 2,988,998.84 ",105,11/14/17,2/26/18,,E SOLATORIO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
5,Conc. of Jct. Nhwy. Crossing Palkan-Palkan Road,Polomolok,CY 2017 20% LDF,77.28%,82.14%,-4.86%," 9,965,162.92 ",130,9/24/17,1/31/18,,A. DEMETILLO,DUMALAG SURVEYING & ENG'G. SERVICES,On-going
6,"Spring Development & inst. Of Level III Water System through Hydraulic Rampump, Prk. 4 Amguo",Polomolok,CY 2017 20% LDF,76.54%,53.02%,23.52%," 2,826,890.48 ",120,9/25/17,2/21/18,,A. DEMETILLO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going
7,"Completion of Barangay Hall, Brgy. Crossing Palkan",Polomolok,"1011-STAFF-999.26 BRGY. FACILITIES, CONST & IMPRV'T. PROG.",1.05%,0.60%,0.45%," 591,165.69 ",50,1/11/18,3/1/18,,A. DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
8,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,73.76%,100.00%,-26.24%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
9,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,Project suspended due to the on-going evaluation & assessment of the proposed plan to the actual site condition by the Planning & Prog'g. Div.
10,Inst. Of Lined Canal along Jct. Nhwy.-Kablon Road,Tupi,CY 2017 20% LDF,58.09%,62.82%,-4.73%," 1,272,371.40 ",90,12/19/17,3/18/18,,A DEMETILLO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
11,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,7.65%,0.45%,7.20%," 2,980,507.19 ",105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
12,"Const. of Facilites in Evacuation Centers (Const. of Comfort Room & Kitchen), Lunen ES",Tupi,CY 2017 CONT. APPROP.-CAL #34 ,6.60%,3.92%,2.68%," 1,545,000.00 ",75,1/18/18,4/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
13,Const. of Stage @ Brgy. Tubeng,Tupi,CY 2017 20% LDF,20.69%,25.08%,-4.39%," 915,350.06 ",90,1/11/18,4/10/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
14,Inst. Of Lined Canal along Jct. Nhwy.-Cebuano Prov'l. Rd.,Tupi,9999-Non-Office 5% CF,4.14%,4.14%,0.00%," 1,487,915.68 ",70,1/18/18,3/28/18,,A DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going
15,"Const. of Day Care Center, Tupi Relocation, Brgy. Pob.",Tupi,CY 2017 20% LDF,0.00%,,," 1,192,742.58 ",60,1/4/18,3/4/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,"Request for suspension is on process, reasonfor suspension  due to delay in verification of project site."
16,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,58.21%,78.66%,-20.45%," 9,769,932.04 ",180,7/26/16,6/27/17,,CJ HICBAN,KING BUILDERS CONST. & SUPPLY,Suspended as of June 16 due to unpassable road condition before the beginning of project
17,Repair of SCPH Medical Records Office (Phase 1),Koronadal City,CY 2017 20% LDF,0.00%,,," 296,989.59 ",60,12/12/17,2/9/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"PROJECT SUSPENDED DUE TO THE DELAYED TRANSFERRING OF THE MEDICAL RECORDS AND VACATE THE PROJECT SITE COMPLETELY,EFFECTIVE DECEMBER 12, 2017 UNTIL SUCH TIME THAT THE SITE ARE CLEAR"
18,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,47.61%,30.00%,17.61%," 1,041,997.26 ",90,11/22/16,2/19/17,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
19,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,31.93%,34.18%,-2.25%," 15,950,503.14 ",320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Suspended as of September 13, 2017 due to new waterway (under negotiation)"
20,Const. of Box Culvert @ Brgy. Saravia,Koronadal City,9999-Non-Office 5% CF,22.88%,15.11%,7.77%," 2,939,820.87 ",125,11/30/17,4/3/18,,E SOLATORIO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
21,Const. of Water System @ PEO Compound,Koronadal City,PEO 8751-SB#1,18.47%,47.36%,-28.89%," 1,916,254.64 ",100,11/5/17,2/11/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; time extension is on process
22,Replacement of SCGCC Roofing @ South Cotabato Gymnasium @ Cultural Center,Koronadal City,1011-SCGCC-SB#1,14.65%,71.87%,-57.22%," 5,974,714.75 ",90,11/8/17,2/5/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; time extension is on process
