Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of July 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP. ,100.00%,100.00%,0.00%," 4,434,321.22 ",195,1/23/18,8/5/18,7/26/18,CJ HICBAN,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",Completed
2,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,2018 CONT. APPRO. GF#259,73.73%,100.00%,-26.27%," 1,192,955.89 ",75,3/27/18,6/10/18,,A. DEMETILLO,JAMI CONST. & SUPPLY,On-going
3,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,87.54%,100.00%,-12.46%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
4,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,"Project suspended waiting for the approved revised plan and variation order prepared by the Planning, Programming & Designing Div. for implementation"
5,"Construction of Water System, Acmonan",Tupi,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,495,000.00 ",90,4/19/18,7/17/18,7/17/18,A DEMETILLO,FREDEN CONSTRUCTION,Completed
6,"Construction of Water System @ prk. 3 Sultan Village & Cartil, Brgy. Palian",Tupi,,0.08%,2.42%,-2.34%," 1,488,617.60 ",100,7/4/18,10/11/18,,J JANUTO,JANMARIE CONST. SERVICE & SUPPLY,On-going
7,Upgrading of Acmonan Road,Tupi,,1.80%,0.15%,1.65%," 9,968,842.72 ",135,7/23/18,12/4/18,,J JANUTO,PASE CONSTRUCTION,On-going
8,Renovation of Brgy. Hall @ Brgy. Linan,Tupi,,3.74%,7.49%,-3.75%," 988,822.23 ",60,6/28/18,8/26/18,,J JANUTO,JJHAK CONSTRUCTION,On-going
9,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,88.85%,100.00%,-11.15%," 5,919,451.68 ",75,11/28/17,4/16/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,"On-going; project expired last April 16, 2018"
10,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,47.40%,82.92%,-35.52%," 2,989,399.99 ",90,3/27/18,8/3/18,,CJ HICBAN,MARBEL DYNAMIC BUILDERS,On-going; time extension is on process
11,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,58.24%,51.99%,6.25%," 1,041,997.26 ",90,11/22/16,3/15/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Suspended as of Feb. 22, 2018 due to the request for revision of the approved plan by the Provincial Accountant & Variation Order"
