Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of June 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP. ,89.69%,55.71%,33.98%," 4,434,321.22 ",195,1/23/18,8/5/18,,CJ HICBAN,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
2,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,2018 CONT. APPRO. GF#259,73.73%,100.00%,-26.27%," 1,192,955.89 ",75,3/27/18,6/10/18,,A. DEMETILLO,JAMI CONST. & SUPPLY,On-going
3,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,83.76%,100.00%,-16.24%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
4,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,"Project suspended waiting for the approved revised plan and variation order prepared by the Planning, Programming & Designing Div. for implementation"
5,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,100.00%,100.00%,," 2,980,507.19 ",105,1/18/18,5/2/18,6/2/18,A DEMETILLO,FREDEN CONSTRUCTION,Completed
6,"Construction of Water System, Acmonan",Tupi,CY 2017 20% LDF,70.65%,40.47%,30.18%," 1,495,000.00 ",90,4/19/18,7/17/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
7,"Const. of SCRDC Addt'l. Bldg. for Female Inmates, Brgy. GPS",Koronadal City,CY 2017 CONT. APPROP. ,100.00%,100.00%,," 3,994,980.50 ",165,7/16/17,12/27/17,6/25/18,CJ HICBAN,FREDEN CONSTRUCTION,Completed
8,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,87.60%,100.00%,-12.40%," 5,919,451.68 ",75,11/28/17,4/16/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,"On-going; project expired last April 16, 2018"
9,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,25.53%,47.60%,-22.07%," 2,989,399.99 ",90,3/27/18,7/14/18,,CJ HICBAN,MARBEL DYNAMIC BUILDERS,On-going
10,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,58.24%,51.99%,6.25%," 1,041,997.26 ",90,11/22/16,3/15/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Suspended as of Feb. 22, 2018 due to the request for revision of the approved plan by the Provincial Accountant & Variation Order"
11,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,70.54%,48.20%,22.34%," 15,950,503.14 ",320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Project resumed as of June 11, 2018"
12,Const. of Perimeter Fence-Firewall @ OPAG,Koronadal City,CY 2017 20% LDF,48.07%,1.87%,46.20%," 792,000.00 ",60,1/10/18,8/20/18,,E SOLATORIO,FREDEN CONSTRUCTION,"Project resumed as of June 22, 2018"
13,"Const. of 1 Unit Box Culvert Connecting Prk. Pag-asa & Prk. Blaan, Brgy. Magsaysay",Koronadal City,2017 PDRRMF-IP TF 2.4,0.00%,,," 1,263,126.92 ",50,4/16/18,6/4/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Suspended as of April 16, 2018 due to project conflict with the City Government project. "
14,Completion of PDRR Operations Center & Warehouse @ PEO Compound,Koronadal City,999.4-SB#2-CPDRROCW,54.10%,100.00%,-45.90%," 1,488,317.54 ",70,4/8/18,6/16/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,Suspension is on process due to the new policy of SOCOTECO 1 in banking of 100kVA transformer
15,Purchase & Installation of Elevator (Includes Architectural Design and Elevator Shaft),Koronadal City,2018 CONT. APPROP. GF #133,19.01%,10.63%,8.38%," 9,326,531.86 ",130,5/21/18,9/30/18,,E SOLATORIO,ROYAL SUMMIT INFINITY DEV'T. CORP.,On-going
16,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,90.67%,100.00%,-9.33%," 9,769,932.04 ",180,7/26/16,5/21/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
17,"Const. of Day Care Center, Sitio El Ulit, Brgy. Bukay Pait",Tantangan,CY 2017 20% LDF,7.77%,6.56%,1.21%," 1,185,000.00 ",60,6/13/18,8/11/18,,E SOLATORIO,FREDEN CONSTRUCTION,On-going
18,Const. of Facilities in Evacuation Centers (Const. of Comfort Room & Kitchen),Tantangan,CY 2018 Cont. APPROP. GF #19,49.74%,49.63%,0.11%," 1,544,000.00 ",75,3/29/18,7/16/18,,Z TUMALA,FREDEN CONSTRUCTION,On-going
19,Rehabilitation of Albagan Road,Tampakan,,49.37%,50.64%,-1.27%," 5,986,721.47 ",100,9/26/17,2/2/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"Project suspended as of Jan. 15, 2017, due to road condition going to project site and the contractor have diffilculty in hauling of materials & due to unforseen rocky materials that is not yet removed by the contractor"
20,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,90.64%,100.00%,-9.36%," 4,033,389.66 ",200,11/28/17,6/15/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going
21,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,16.45%,61.29%,-44.84%," 2,987,473.44 ",135,12/26/17,5/9/18,,A BARRIENTOS,MFN BUILDERS,"Project suspended as of Apr. 2, 2018, due to road condition going to project site and the contractor have diffilculty in hauling of materials"
22,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05%,100.00%,-22.95%," 264,308.97 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Subject for termination; MAJOR ISSUES: 1)UNAVAILABILITY OF UV PLASTIC SHEETS 600 MICRONS IN LOCAL MARKET 2)INABILITY OF THE CONTRACTOR TO INSTALL THE SPRINKLER SYSTEM
23,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58%,100.00%,-24.42%," 288,485.65 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Subject for termination; MAJOR ISSUES: 1)UNAVAILABILITY OF UV PLASTIC SHEETS 600 MICRONS IN LOCAL MARKET 2)INABILITY OF THE CONTRACTOR TO INSTALL THE SPRINKLER SYSTEM
24,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,100.00%,100.00%,," 1,515,778.02 ",70,9/24/17,4/19/18,6/18/18,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,Completed
25,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,100.00%,100.00%,," 1,761,935.91 ",100,11/5/17,3/4/18,6/20/18,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed
