Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of March  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Const. of Day Care Center @ Brgy. Magsaysay,Polomolok,CY 2017 20% LDF,98.60%,100.00%,-1.40%," 1,192,955.89 ",60,11/1/17,1/19/18,,E SOLATORIO,JAMI CONST. & SUPPLY,On-going
2,"Const. of 2-Storey Barangay Hall, Brgy. Upper Klinan",Polomolok,CY 2017 20% LDF,90.14%,97.77%,-7.63%," 2,988,998.84 ",105,11/14/17,2/26/18,,E SOLATORIO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going; 
3,Conc. of Jct. Nhwy. Crossing Palkan-Palkan Road,Polomolok,CY 2017 20% LDF,100.00%,100.00%,0.00%," 9,965,162.92 ",130,9/24/17,1/31/18,3/7/18,A. DEMETILLO,DUMALAG SURVEYING & ENG'G. SERVICES,Completed
4,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP. ,34.01%,11.42%,22.59%," 4,434,321.22 ",195,1/23/18,8/5/18,,CJ HICBAN,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
5,"Completion of Barangay Hall, Brgy. Crossing Palkan",Polomolok,"1011-STAFF-999.26 BRGY. FACILITIES, CONST & IMPRV'T. PROG.",100.00%,100.00%,0.00%," 591,165.69 ",50,1/11/18,3/1/18,3/1/18,A. DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,Completed
6,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,77.87%,100.00%,-22.13%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
7,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,Project suspended due to the on-going evaluation & assessment of the proposed plan to the actual site condition by the Planning & Prog'g. Div.
8,Inst. Of Lined Canal along Jct. Nhwy.-Kablon Road,Tupi,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,272,371.40 ",90,12/19/17,3/18/18,3/18/18,A DEMETILLO,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",Completed
9,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,40.01%,44.70%,-4.69%," 2,980,507.19 ",105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
10,"Const. of Facilites in Evacuation Centers (Const. of Comfort Room & Kitchen), Lunen ES",Tupi,CY 2017 CONT. APPROP.-CAL #34 ,88.03%,85.65%,2.38%," 1,545,000.00 ",75,1/18/18,4/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
11,Const. of Stage @ Brgy. Tubeng,Tupi,CY 2017 20% LDF,89.14%,96.46%,-7.32%," 915,350.06 ",90,1/11/18,4/10/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
12,Inst. Of Lined Canal along Jct. Nhwy.-Cebuano Prov'l. Rd.,Tupi,9999-Non-Office 5% CF,93.99%,98.39%,-4.40%," 1,487,915.68 ",70,1/18/18,3/28/18,,A DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going
13,"Const. of Day Care Center, Tupi Relocation, Brgy. Pob.",Tupi,CY 2017 20% LDF,84.50%,89.09%,-4.59%," 1,192,742.58 ",60,1/4/18,3/4/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
14,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,58.21%,78.66%,-20.45%," 9,769,932.04 ",180,7/26/16,6/27/17,,CJ HICBAN,KING BUILDERS CONST. & SUPPLY,Suspended as of June 16 due to unpassable road condition before the beginning of project
15,Repair of SCPH Medical Records Office (Phase 1),Koronadal City,CY 2017 20% LDF,0.00%,,," 296,989.59 ",60,12/12/17,2/9/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Indorsed to SCPH March23, 2018"
16,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,58.24%,51.99%,6.25%," 1,041,997.26 ",90,11/22/16,2/19/17,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
17,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,31.93%,34.18%,-2.25%," 15,950,503.14 ",320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Suspended as of September 13, 2017 due to new waterway (under negotiation)"
18,Const. of Box Culvert @ Brgy. Saravia,Koronadal City,9999-Non-Office 5% CF,82.21%,96.33%,-14.12%," 2,939,820.87 ",125,11/30/17,4/3/18,,E SOLATORIO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going
19,Const. of Water System @ PEO Compound,Koronadal City,PEO 8751-SB#1,85.30%,100.00%,-14.70%," 1,916,254.64 ",100,11/5/17,2/11/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; 
20,Replacement of SCGCC Roofing @ South Cotabato Gymnasium @ Cultural Center,Koronadal City,1011-SCGCC-SB#1,81.75%,100.00%,-18.25%," 5,974,714.75 ",90,11/8/17,2/5/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; 
21,"Furniture & Fixtures Fabrication of Deck-Type Beds for Female Inmates, South Cotabato Detention & Rehab. Center",Koronadal City,1012-SCRDC-1-07-07-010-SB#1,95.04%,84.73%,10.31%," 993,495.69 ",45,1/10/18,2/23/18,,E SOLATORIO,PASE CONSTRUCTION,"Febr. 16, 2018, suspension is on process due to type beds been assembled inside the female inmates building but the bldg was still on going construction."
22,Fabrication & Inst. Of Rice Steamer,Koronadal City,1012-SCRDC-1-07-04-990,100.00%,75.80%,24.20%," 886,672.15 ",60,1/11/18,3/11/18,2/28/18,E SOLATORIO,FH GOPITEO CONST. & SUPPLY,Completed
