Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of May 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP. ,82.57%,55.71%,26.86%," 4,434,321.22 ",195,1/23/18,8/5/18,,CJ HICBAN,"UNIFIED WORKERS CONST. & DEV'T. MPC, INC.",On-going
2,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,,53.41%,56.57%,-3.16%," 1,192,955.89 ",75,3/27/18,6/10/18,,A. DEMETILLO,JAMI CONST. & SUPPLY,On-going
3,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,80.01%,100.00%,-19.99%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
4,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,0.00%,,," 1,935,054.16 ",90,11/5/17,2/2/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,"Project suspended waiting for the approved revised plan and variation order prepared by the Planning, Programming & Designing Div. for implementation"
5,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,96.56%,100.00%,-3.44%," 2,980,507.19 ",105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
6,"Construction of Water System, Acmonan",Tupi,CY 2017 20% LDF,42.79%,15.44%,27.35%," 1,495,000.00 ",90,4/19/18,7/17/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going
7,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,90.02%,100.00%,-9.98%," 9,769,932.04 ",180,7/26/16,5/21/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
8,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,58.24%,51.99%,6.25%," 1,041,997.26 ",90,11/22/16,3/15/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Suspended as of Feb. 22, 2018 due to the request for revision of the approved plan by the Provincial Accountant"
9,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,46.66%,34.18%,12.48%," 15,950,503.14 ",320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Suspended as of September 13, 2017 due to new waterway (under negotiation) and variation order"
10,Const. of Box Culvert @ Brgy. Saravia,Koronadal City,9999-Non-Office 5% CF,100.00%,100.00%,0.00%," 2,939,820.87 ",155,11/30/17,5/3/18,5/3/18,E SOLATORIO,HVC SAGITTARIUS COMMERCIAL & CONST.,Completed
11,Replacement of SCGCC Roofing @ South Cotabato Gymnasium @ Cultural Center,Koronadal City,1011-SCGCC-SB#1,100.00%,100.00%,0.00%," 5,974,714.75 ",135,11/8/17,5/5/18,5/5/18,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed
12,"Furniture & Fixtures Fabrication of Deck-Type Beds for Female Inmates, South Cotabato Detention & Rehab. Center",Koronadal City,1012-SCRDC-1-07-07-010-SB#1,100.00%,100.00%,0.00%," 993,495.69 ",45,1/10/18,5/29/18,5/24/18,E SOLATORIO,PASE CONSTRUCTION,Completed
13,Improvement of Electrical Facilities & Provision of power House @ Finance Bldg.,Koronadal City,1011-STAFF-999.32-IMPROV'T. OF BLDG. & ELECTRICAL FACILITIES,100.00%,100.00%,0.00%," 5,429,158.31 ",105,1/22/18,5/6/18,5/6/18,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,Completed
14,Const. of Perimeter Fence-Firewall @ OPAG,Koronadal City,CY 2017 20% LDF,0.00%,0.00%,," 792,000.00 ",60,1/10/18,3/10/18,,E SOLATORIO,FREDEN CONSTRUCTION,"PROJECT SUSPENDED AS OF JANUARY 10, 2018 DUE TO AIR & NOISE POLLUTION AT THE MATERNITY LYING-IN DURING DEMOLITION WORKS AND VARIATION ORDER"
15,"Const. of 1 Unit Box Culvert Connecting Prk. Pag-asa & Prk. Blaan, Brgy. Magsaysay",Koronadal City,2017 PDRRMF-IP TF 2.4,0.00%,,," 1,263,126.92 ",50,4/16/18,6/4/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Suspended as of April 16, 2018 due to project conflict with the City Government project. "
16,Completion of PDRR Operations Center & Warehouse @ PEO Compound,Koronadal City,999.4-SB#2-CPDRROCW,15.58%,21.00%,-5.42%," 1,488,317.54 ",70,4/8/18,6/16/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
17,Purchase & Installation of Elevator (Includes Architectural Design and Elevator Shaft),Koronadal City,2018 CONT. APPROP. GF #133,0.56%,0.06%,0.50%," 9,326,531.86 ",130,5/21/18,9/30/18,,E SOLATORIO,ROYAL SUMMIT INFINITY DEV'T. CORP.,On-going
18,"Const. of SCRDC Addt'l. Bldg. for Female Inmates, Brgy. GPS",Koronadal City,CY 2017 CONT. APPROP. ,96.16%,100.00%,-3.84%," 3,994,980.50 ",165,7/16/17,12/27/17,,CJ HICBAN,FREDEN CONSTRUCTION,"On-going; PROJECT EXPIRED last Dec. 27, 2017"
19,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,87.60%,100.00%,-12.40%," 5,919,451.68 ",75,11/28/17,3/17/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,On-going; variation order is on process
20,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,10.31%,39.88%,-29.57%," 2,989,399.99 ",90,3/27/18,6/24/18,,CJ HICBAN,MARBEL DYNAMIC BUILDERS,On-going
21,"Const. of Materials Testing Quality Control Div. Bldg., PEO Compound",Koronadal City,PEO 8751-SB#1-P/P-999.2-CMTQCDB,100.00%,100.00%,0.00%," 1,690,372.86 ",70,1/18/18,5/27/18,5/27/18,Z TUMALA,MEGALINE BUILDERS & SUPPLY,Completed
22,Const. of Facilities in Evacuation Centers (Const. of Comfort Room & Kitchen),Tantangan,CY 2018 Cont. APPROP. GF #19,38.55%,70.30%,-31.75%," 1,544,000.00 ",75,3/29/18,6/11/18,,Z TUMALA,FREDEN CONSTRUCTION,On-going
23,"Fencing of APP Center @ PVET, Brgy. Tinongcop",Tantangan,CY 2017 20% LDF,100.00%,100.00%,0.00%," 4,994,185.24 ",90,12/20/17,5/23/18,5/23/18,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,Completed
24,Rehabilitation of Albagan Road,Tampakan,,49.37%,50.64%,-1.27%," 5,986,721.47 ",100,9/26/17,2/2/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"Project suspended as of Jan. 15, 2017, due to unpassable road before project site."
25,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,69.39%,92.11%,-22.72%," 4,033,389.66 ",200,11/28/17,6/15/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going
26,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,16.45%,61.29%,-44.84%," 2,987,473.44 ",135,12/26/17,5/9/18,,A BARRIENTOS,MFN BUILDERS,Suspended
27,"Const. of Day Care Center, Brgy. Poblacion",Tampakan,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,190,000.00 ",90,12/19/17,3/18/18,5/4/18,A BARRIENTOS,"ISULAN ECT CONST. & GEN. MDSE., INC.",Completed
