Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of November 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,33.33%,52.42%,-19.09%," 1,935,054.16 ",90,11/5/17,11/25/18,,J JANUTO,KING BUILDERS CONST. & SUPPLY,"Suspended as October 22, 2018; Major Issue: Occurrence of flashflood in the jobsite"
2,"Construction of Water System @ prk. 3 Sultan Village & Cartil, Brgy. Palian",Tupi,2018 CONT. APPRO GF #271,100.00%,100.00%,," 1,488,617.60 ",130,7/4/18,11/10/18,11/10/18,J JANUTO,JANMARIE CONST. SERVICE & SUPPLY,Completed
3,Upgrading of Acmonan Road,Tupi,CY 2018 20% LDF 4.2.12,87.14%,96.66%,-9.52%," 9,968,842.72 ",135,7/23/18,12/4/18,,J JANUTO,PASE CONSTRUCTION,On-going; time extension is on process
4,Const. of 2CL School Bldg. w/ Two Seater Attached Toilet @ Ricardo D. Avila Elementary School,Tupi,2018 CONT. APPRO GF #41,7.11%,23.18%,-16.07%," 1,979,900.18 ",120,10/2/18,1/29/19,,J JANUTO,ILON MULTIBUILDERS CO.,On-going; Major Issue: lack of materials and skilled laborers on site
5,"Construciton of One (1) Unit Coffee trading Center, Brgy. Poblacion",Tupi,PRDP,2.72%,1.00%,1.72%," 2,395,072.06 ",90,11/3/18,1/31/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
6,Construciton of Signages/Wayfinders in key Tourist destination/Information Warning Devices,Tupi,2018 CONT. APPRO GF #65,0.00%,0.24%,-0.24%," 1,784,823.30 ",120,11/21/18,3/19/19,,J JANUTO,PASE CONSTRUCTION,On-going
7,"Const. of one (1) Unit Warehouse and Drier @ Brgy. Kinilis, Polomolok & Brgy. Poblacion, Tampakan",Polomolok & Tampakan,PRDP,3.56%,4.12%,-0.56%," 2,994,969.77 ",90,11/3/18,1/31/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
8,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,94.75%,100.00%,-5.25%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
9,"Construction of Covered Court, Brgy. Pula Bato",Tampakan,2018 CONT. APPRO GF #304,42.13%,50.13%,-8.00%," 4,066,740.44 ",180,9/4/18,3/2/19,,A DEMETILLO,ILON MULTIBUILDERS CO.,On-going
