Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of October 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,2018 CONT. APPRO. GF#259,100.00%,100.00%,0.00%," 1,192,955.89 ",75,3/27/18,6/10/18,10/1/18,A. DEMETILLO,JAMI CONST. & SUPPLY,Completed
2,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,94.75%,100.00%,-5.25%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
3,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,33.33%,52.42%,-19.09%," 1,935,054.16 ",90,11/5/17,11/25/18,,J JANUTO,KING BUILDERS CONST. & SUPPLY,On-going; Major Issue: Occurrence of flashflood in the jobsite that damage the project
4,"Construction of Water System @ prk. 3 Sultan Village & Cartil, Brgy. Palian",Tupi,2018 CONT. APPRO GF #271,83.60%,73.09%,10.51%," 1,488,617.60 ",130,7/4/18,11/10/18,,J JANUTO,JANMARIE CONST. SERVICE & SUPPLY,On-going
5,Upgrading of Acmonan Road,Tupi,CY 2018 20% LDF 4.2.12,76.47%,60.73%,15.74%," 9,968,842.72 ",135,7/23/18,12/4/18,,J JANUTO,PASE CONSTRUCTION,On-going; variation order is on process
6,Const. of 2CL School Bldg. w/ Two Seater Attached Toilet @ Ricardo D. Avila Elementary School,Tupi,2018 CONT. APPRO GF #41,3.55%,16.39%,-12.84%," 1,979,900.18 ",120,10/2/18,1/29/19,,J JANUTO,ILON MULTIBUILDERS CO.,On-going; Major Issue: lack of materials on site
7,"Construction of Covered Court, Brgy. Pula Bato",Tampakan,2018 CONT. APPRO GF #304,18.29%,26.31%,-8.02%," 4,066,740.44 ",180,9/4/18,3/2/19,,A DEMETILLO,ILON MULTIBUILDERS CO.,On-going
8,"Construction of Flood Control @ Sitio Esting, Brgy. Lampitak",Tampakan,2017 PDRRMF-IP TRUST FUND,98.32%,99.68%,-1.36%," 998,595.18 ",40,9/17/18,10/26/18,,A DEMETILLO,GABRIELLAS ENTERPRISES,On-going
9,"Construciton of Lined Canal @ Godmaling, Prk, Quezon, Brgy. Sta. Cruz",Tampakan,2018 NON-OFFICE PDRRMF 3.A.10,7.25%,3.54%,3.71%," 5,336,492.32 ",240,10/10/18,6/6/19,,A DEMETILLO,PASE CONSTRUCTION,On-going
10,Rehabilitation of Albagan Road,Tampakan,,89.33%,100.00%,-10.67%," 5,986,721.47 ",100,9/26/17,9/18/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"On-going; project resumed as of September 10, 2018"
11,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,90.64%,100.00%,-9.36%," 4,033,389.66 ",200,11/28/17,6/15/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going; due for LD
12,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,56.24%,100.00%,-43.76%," 2,987,473.44 ",135,12/26/17,10/17/18,,A BARRIENTOS,MFN BUILDERS,On-going
13,Installation of Lined Canal along Sta. cruz - Magsaysay Bdrt Road,Tampakan,LDF COUNTERPART TO CMGP,100.00%,100.00%,0.00%," 1,671,780.30 ",90,8/7/18,11/4/18,10/25/18,A BARRIENTOS,PASE CONSTRUCTION,Completed
14,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,85.78%,100.00%,-14.22%," 2,989,399.99 ",90,3/27/18,8/18/18,,S RENTOZA,MARBEL DYNAMIC BUILDERS,On-going
15,Upgrading of San Jose-Columbio Bdry. Road,Koronadal City,CY 2018 20% LDF,28.30%,8.28%,20.02%," 9,988,025.62 ",130,9/23/18,1/30/19,,S RENTOZA,GABRIELLAS ENTERPRISES,On-going
16,Alteration & Renovation of Extg. Wooden Spectator's Stand and Control Tower @ SCSC (Control Tower),Koronadal City,CY 2018 Cont. APPROP. GF #105,20.70%,24.55%,-3.85%," 5,427,551.51 ",150,9/6/18,2/3/19,,S RENTOZA,GABRIELLAS ENTERPRISES,On-going
17,Construction of Water System @ Brgy. Carpenter Hill,Koronadal City,CY 2018 20% LDF 4.4.1,3.96%,3.82%,0.14%," 4,911,276.54 ",226,9/23/18,5/6/19,,S RENTOZA,DUMALAG SURVEYING & ENG'E. SERVICES,On-going
18,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,83.84%,93.86%,-10.02%," 15,950,503.14 ",320,12/5/16,9/4/18,,E SOLATORIO,REYDAN BUILDERS,On-going; Suspended due to lacking of items for the installation of steel bridge
19,"Const. of 1 Unit Box Culvert Connecting Prk. Pag-asa & Prk. Blaan, Brgy. Magsaysay",Koronadal City,2017 PDRRMF-IP TF 2.4,55.94%,100.00%,-44.06%," 1,263,126.92 ",50,4/16/18,10/12/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
