Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of September 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
1,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,2018 CONT. APPRO. GF#259,80.55%,100.00%,-19.45%," 1,192,955.89 ",75,3/27/18,6/10/18,,A. DEMETILLO,JAMI CONST. & SUPPLY,On-going
2,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,94.75%,100.00%,-5.25%," 4,904,647.08 ",220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going
3,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,20.22%,21.34%,-1.12%," 1,935,054.16 ",90,11/5/17,2/2/18,,J JANUTO,KING BUILDERS CONST. & SUPPLY,On-going; Major Issue: Occurrence of flashflood causing rework of the prepared base of box culvert
4,"Construction of Water System @ prk. 3 Sultan Village & Cartil, Brgy. Palian",Tupi,2018 CONT. APPRO GF #271,75.14%,73.09%,2.05%," 1,488,617.60 ",100,7/4/18,10/11/18,,J JANUTO,JANMARIE CONST. SERVICE & SUPPLY,On-going
5,Upgrading of Acmonan Road,Tupi,CY 2018 20% LDF 4.2.12,45.64%,20.20%,25.44%," 9,968,842.72 ",135,7/23/18,12/4/18,,J JANUTO,PASE CONSTRUCTION,On-going
6,Renovation of Brgy. Hall @ Brgy. Linan,Tupi,2018 CONT. APPRO GF #256,100.00%,100.00%,0.00%," 988,822.23 ",60,6/28/18,8/25/18,8/25/18,J JANUTO,JJHAK CONSTRUCTION,Completed
7,"Construction of Covered Court, Brgy. Pula Bato",Tampakan,2018 CONT. APPRO GF #304,4.31%,3.63%,0.68%," 4,066,740.44 ",180,9/4/18,3/2/19,,A DEMETILLO,ILON MULTIBUILDERS CO.,On-going
8,"Construction of Flood Control @ Sitio Esting, Brgy. Lampitak",Tampakan,2017 PDRRMF-IP TRUST FUND,1.05%,3.64%,-2.59%," 998,595.18 ",40,9/17/18,10/26/18,,A DEMETILLO,GABRIELLAS ENTERPRISES,On-going
9,Rehabilitation of Albagan Road,Tampakan,,89.33%,100.00%,-10.67%," 5,986,721.47 ",100,9/26/17,9/18/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"On-going; project resumed as of September 10, 2018"
